"Now Shopping by","Ora acquista per"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} non è raccomandato utilizzarlo nell'ambiente di produzione per dichiarare URL Base non sicuro / URL Base Sicuro. Consigliamo vivamente di modificare questo valore nella <a href=""%1"">configurazione</a> di Magento."
"One or more of the Cache Types are invalidated: %1. ","Uno o più tipi di cache risultano invalidati: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Si prega di accedere alla sezione di <a href=""%1"">Gestione cache</a> e di aggiornare i tipi di cache invalidati."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Non siamo stati in grado di sincronizzare uno o più file media. Consulta il file di log per i dettagli."
"Synchronization of media storages has been completed.","Sincronizzazione dei file multimediali completata."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Il tuo server Web è configurato in modo non corretto e consente l'accesso non autorizzato ai file sensibili. Si prega di contattare il proprio fornitore di hosting."
"System Messages:","Messaggi di sistema:"
"Critical System Messages","Messaggi critici di sistema"
"Major System Messages","Messaggi di sistema principali"
"System messages","Messaggi di sistema"
"See All (","Vedi tutti ("
" unread)"," non letti)"
"Show Toolbar","Mostra Toolbar"
"Show List","Mostra lista"
"Use HTTPS to Get Feed","Utilizza HTTPS per ottenere i Feed"
"Update Frequency","Frequenza di aggiornamento"
Severity,Gravità
"Date Added","Data Inserimento"
"Close popup","Chiudi popup"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Avete visto e risolto tutti gli avvisi di sistema ultimi. Si prega di aggiornare la pagina web per cancellare l'avviso."
Banners,Banner
"Add Banner","Aggiungi Banner"
"Save Banner","Salva Banner"
"Delete Banner","Elimina Banner"
"New Banner","Nuovo Banner"
"Default Content","Contenuto predefinito"
"No Default Content","Nessun contenuto predefinito"
"Banner Default Content for All Store Views","Contenuto predefinito banner per tutte le Viste negozio"
"Store View Specific Content","Contenuto specifico per la vista negozio"
"Related Promotions","Promozioni correlate"
"Banner Properties","Proprietà Banner"
"Banner Name","Nome Banner"
"Any Banner Type","Qualsiasi tipo di banner"
"Specified Banner Types","Tipi di Banner specificati"
"Specify Types","Specifica Tipi"
"Banner Information","Informazioni banner"
"Banner Type","Tipo di banner"
"Are you sure you want to delete these banners?","Sei sicuro di che voler cancellare questi banner?"
"Related Banners","Banner Correlati"
"This banner does not exist.","Questo banner non esiste."
"You deleted the banner.","È stato eliminato il banner."
"Something went wrong while deleting banner data. Please review the action log and try again.","Qualcosa è andato storto durante l'eliminazione di dati del banner. Riesamina gli action log e riprova ancora."
"We cannot find a banner to delete.","Non si trova un banner da eliminare."
"This banner no longer exists.","Questo banner non esiste più."
"Edit Banner","Modifica Banner"
"Please select a banner(s).","Seleziona un banner."
"You deleted %1 record(s).","Hai eliminato %1 record."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Qualcosa è andato storto durante l'eliminazione di massa dei banner. Riesamina gli action log e riprova ancora."
"You saved the banner.","Hai salvato il banner."
"We cannot save the banner.","Impossibile salvare il banner."
"Please enter a name.","Inserisci un nome."
"Please specify default content for at least one store view.","Si prega di specificare contenuto predefinito per almeno una vista negozio."
"-- None --","-- Nessuno --"
"Related Cart Price Rules","Regole di prezzo carrello correlate"
"Related Catalog Price Rules","Regole di prezzo catalogo correlate"
"Content Area","Area del contenuto"
"Left Column","Colonna sinistra"
"Right Column","Colonna destra"
"Manage Banners","Gestisci banner"
"Banner Rotator","Rotazione banner"
"Displays Specified or Promotion Banners","Mostra banner specificati o in promozione"
"Banners to Display","Banner da visualizzare"
"Specified Banners","Banner specificati"
"Shopping Cart Promotions Related","Promozioni correlate carrello"
"Catalog Promotions Related","Promozioni correlate al catalogo"
"Restrict by Banner Types","Ristretto dai tipi di banner"
"Rotation Mode","Modalità di rotazione"
"Display all instead of rotating","Visualizza tutto invece di ruotare"
"One at the time, Random","Uno alla volta, Random"
"One at the time, Series","Uno alla volta, in serie"
"One at the time, Shuffle","Uno alla volta, Casuale"
"Specify Banners","Specifica banner"
"Banner Block Template","Template blocco banner"
"Banner Inline Template","Template inline banner"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Le regole di prezzo del carrello ti permettono di impostare promozioni per gli articoli che sono nel carrello."
"Add Cart Price Rules","Aggiungi una regola di prezzo del carrello"
"Import and Export Tax Rates","Importa ed esporta aliquote fiscali"
"The tax rate has been imported.","L'aliquota fiscale è stata importata."
"Invalid file upload attempt","Tentativo di caricamento file non valido"
"Invalid file upload attempt.","Tentativo di caricamento file non valido."
"Invalid file format.","Formato file non valido."
"One of the countries has invalid code.","Uno dei paesi ha un codice non valido."
"Import Tax Rates","Importa aliquote fiscali"
"Export Tax Rates","Esporta aliquote fiscali"
"Import/Export Tax Rates","Importazione/esportazione delle aliquote fiscali"
"You are subscribed to our newsletter.","Ti sei iscritto alla nostra newsletter."
"You aren't subscribed to our newsletter.","Non sei iscritto alla nostra newsletter."
"You have not set a default shipping address.","Non hai impostato un indirizzo di spedizione predefinito."
"You have not set a default billing address.","Non hai impostato un indirizzo di fatturazione predefinito."
region,regione
"Save Customer","Salva Cliente"
"Are you sure you want to revoke the customer's tokens?","Sei sicuro di che voler revocare i token del cliente?"
"New Customer","Nuovo Cliente"
"Shopping Cart from %1","Carrello da %1"
"Newsletter Information","Informazioni Newsletter"
"Subscribed to Newsletter","Iscritto alla Newsletter"
"Last Date Subscribed","Data dell'ultimo iscritto"
"Last Date Unsubscribed","Data ultimo disiscritto"
"No Newsletter Found","Nessuna newsletter trovata"
"Start date","Data Inizio"
"Receive Date","Data Ricezione"
"There are no items in customer's shopping cart.","Non ci sono articoli nel carrello del cliente."
Confirmed,Confermato
"Confirmation Required","Conferma obbligatoria"
"Confirmation Not Required","Conferma non obbligatoria"
Indeterminate,Indeterminato
"The customer does not have default billing address.","Il cliente non dispone di un indirizzo di fatturazione predefinito."
Locked,Bloccato
"Deleted Stores","Negozi cancellati"
"Add Locale","Aggiungi localizzazione"
"Add Date","Aggiungi data"
"Days in Wish List","Giorni nella lista desideri"
"Delete Image","Elimina immagine"
"View Full Size","Vedi a grandezza intera"
"All countries","Tutti i Paesi"
"Add New Customer Group","Aggiungi nuovo gruppo clienti"
"Save Customer Group","Salva Gruppo clienti"
"Delete Customer Group","Elimina gruppo clienti"
"New Customer Group","Nuovo gruppo clienti"
"Edit Customer Group ""%1""","Modifica gruppo clienti ""%1"""
"Group Information","Informazioni gruppo"
"Group Name","Nome gruppo"
"Maximum length must be less then %1 characters.","La lunghezza massima deve essere minore di %1 caratteri."
"The customer is now assigned to Customer Group %s.","Il cliente è ora assegnato al gruppo clienti %s."
"Would you like to change the Customer Group for this order?","Vuoi cambiare il gruppo cliente per questo ordine?"
"The VAT ID is valid.","La partita IVA è valida."
"The VAT ID entered (%s) is not a valid VAT ID.","La partita IVA inserita (%s) non è una partita IVA valida."
"The VAT ID is valid. The current Customer Group will be used.","La partita IVA è valida. Verrà utilizzato il gruppo cliente corrente."
"The VAT ID is valid but no Customer Group is assigned for it.","La partita IVA è valida, ma non vi è nessun gruppo cliente è associato."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","In base alla partita IVA, il cliente appartiene al gruppo clienti %s."
"Something went wrong while validating the VAT ID.","Qualcosa è andato storto durante la convalida della partita IVA."
"The customer would belong to Customer Group %s.","Il cliente apparterrebbe al gruppo clienti %s."
"There was an error detecting Customer Group.","Si è verificato un errore durante l'individuazione del gruppo cliente."
"Validate VAT Number","Convalida partita IVA"
"Customer Login","Login cliente"
"Create New Customer Account","Crea nuovo account cliente"
"Date of Birth","Data di nascita"
"This confirmation key is invalid or has expired.","Questa chiave di conferma non è valida oppure è scaduta."
"There was an error confirming the account","Si è verificato un errore confermando l'account"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Se sei un cliente registrato con P.IVA, fai click <a href=""%1"">qui</a> per inserire il tuo indirizzo di spedizione per il calcolo corretto delle tasse."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Se sei un cliente registrato con P.IVA, fai click <a href=""%1"">qui</a> per inserire il tuo indirizzo di fatturazione per il calcolo corretto delle tasse."
"Thank you for registering with %1.","Grazie per esserti registrato con %1."
"Please check your email for confirmation key.","Controlla la tua email per la chiave di conferma."
